category_0,category_1,category_2,price,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
cat_814,cat_325,cat_33,558.9307411907655,1,2018-06-09 02:31:16.000000,2018-06-09 07:41:14.000000,1,0,5,0,690.0,690.0,690.0,28.0,12.0,11.0,36.0,17.0,12.0,0.0,0.0,0.0
cat_814,cat_325,cat_33,951.8023491292023,1,2017-06-05 18:34:45.000000,2017-06-05 18:34:29.000000,0,0,1,0,940.0,470.0,1175.0,28.0,12.0,11.0,36.0,17.0,12.0,0.0,0.0,0.0
cat_923,cat_283,cat_12,639.935196435804,1,2018-01-19 03:56:16.000000,2018-01-19 03:52:15.000000,0,0,1,0,800.16,752.56,874.1,59.0,5.0,18.0,42.0,9.0,25.0,0.0,0.0,0.0
cat_923,cat_283,cat_22,688.5378695828269,1,2018-06-30 23:04:23.000000,2018-06-30 23:04:23.000000,1,0,2,0,1070.35,1070.35,1070.35,59.0,5.0,31.0,42.0,9.0,21.0,0.0,0.0,0.0
cat_78,cat_147,cat_22,145.80801944106923,1,2017-11-29 18:33:12.000000,2017-11-29 18:33:04.000000,1,1,1,0,180.0,180.0,180.0,2.0,42.0,7.0,2.0,60.0,3.0,0.0,0.0,0.0
cat_580,cat_147,cat_37,542.7298501417579,1,2018-01-13 06:03:59.000000,2018-01-13 05:25:42.000000,0,0,2,0,368.86,325.71,557.53,79.0,42.0,13.0,143.0,60.0,44.0,0.0,1.0,0.0
cat_3,cat_410,cat_34,727.8331308221952,1,2017-12-17 07:17:36.000000,2017-12-17 07:13:08.000000,0,0,3,0,658.87,440.32,1157.04,1.0,1.0,1.0,8.0,9.0,15.0,0.0,0.0,0.0
cat_3,cat_450,cat_19,865.0141757796678,1,2017-12-16 01:48:05.000000,2017-12-16 01:48:03.000000,0,0,1,0,381.71,269.03,530.62,1.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0
cat_91,cat_147,cat_3,769.5423248278656,1,2017-11-12 01:34:58.000000,2017-11-12 01:09:24.000000,0,0,1,0,876.43,815.47,950.0,0.0,7.0,1.0,1.0,30.0,15.0,0.0,0.0,0.0
cat_315,cat_158,cat_19,27.541514783313083,1,2018-04-24 01:44:49.000000,2018-04-24 01:16:17.000000,0,0,1,0,39.07,29.22,44.1,0.0,0.0,1.0,1.0,1.0,17.0,0.0,0.0,0.0
cat_678,cat_382,cat_0,481.97650870797895,1,2018-04-18 00:43:09.000000,2018-04-18 00:26:50.000000,0,0,1,0,613.2,595.0,637.06,34.0,1.0,4.0,53.0,5.0,8.0,0.0,1.0,0.0
cat_678,cat_147,cat_34,607.5334143377886,1,2018-04-13 17:29:35.000000,2018-04-13 17:29:34.000000,0,0,1,0,746.34,663.78,775.78,34.0,4.0,11.0,53.0,4.0,14.0,0.0,1.0,0.0
cat_298,cat_142,cat_22,25.103280680437425,1,2018-01-02 17:25:46.000000,2018-02-02 12:58:40.000000,2,0,15,0,30.99,30.99,30.99,5.0,5.0,6.0,17.0,17.0,20.0,0.0,1.0,0.0
cat_356,cat_331,cat_12,340.2187120291616,1,2018-02-11 19:00:34.000000,2018-02-11 18:59:14.000000,1,0,1,0,420.23,420.0,423.36,29.0,6.0,64.0,15.0,6.0,29.0,0.0,0.0,0.0
cat_717,cat_250,cat_12,132.3936816524909,1,2017-05-11 00:57:48.000000,2017-05-11 00:57:48.000000,2,0,1,0,119.0,119.0,119.0,8.0,5.0,64.0,2.0,1.0,29.0,0.0,0.0,0.0
cat_966,cat_393,cat_16,498.1773997569867,1,2018-02-20 19:46:59.000000,2018-02-20 19:46:59.000000,3,0,1,0,699.15,430.08,825.21,20.0,8.0,22.0,12.0,3.0,12.0,0.0,0.0,0.0
cat_61,cat_502,cat_35,262.4544349939247,1,2017-09-07 19:25:59.000000,2017-09-08 05:07:08.000000,0,0,3,0,289.34,220.02,324.0,3.0,3.0,0.0,22.0,21.0,3.0,0.0,0.0,0.0
cat_61,cat_502,cat_22,258.40421223167283,1,2017-09-08 05:07:26.000000,2017-09-08 14:17:48.000000,0,0,3,0,253.41,108.01,319.0,3.0,3.0,1.0,22.0,21.0,11.0,0.0,0.0,0.0
cat_61,cat_502,cat_22,208.18955042527335,1,2017-09-07 18:12:50.000000,2017-10-24 19:11:37.000000,1,0,7,0,183.37,136.0,290.01,3.0,3.0,1.0,22.0,21.0,11.0,0.0,0.0,0.0
cat_346,cat_282,cat_16,550.1174564601054,1,2017-07-07 10:38:13.000000,2017-07-07 10:38:03.000000,0,0,1,0,467.13,276.0,795.0,2.0,0.0,2.0,8.0,1.0,7.0,0.0,0.0,0.0
